game_date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:00,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Puck Recovery,48,82,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:59,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,13,60,Indirect,,,,Nina Rodgers,27,2
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:51,5,5,0,0,Boston Pride,Christina Putigna,Puck Recovery,195,65,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:51,5,5,0,0,Boston Pride,Christina Putigna,Incomplete Play,195,65,Direct,,,,McKenna Brand,175,47
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:49,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Puck Recovery,39,45,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:46,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,3,44,Indirect,,,,Emma Stauber,6,12
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:45,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,11,6,Indirect,,,,Nina Rodgers,50,1
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:44,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Play,50,1,Direct,,,,Haylea Schmid,50,44
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:41,5,5,0,0,Minnesota Whitecaps,Haylea Schmid,Incomplete Play,80,30,Direct,,,,Nina Rodgers,88,5
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:39,5,5,0,0,Boston Pride,Taylor Turnquist,Puck Recovery,73,81,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:39,5,5,0,0,Boston Pride,Taylor Turnquist,Play,73,81,Indirect,,,,Jillian Dempsey,117,75
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:37,5,5,0,0,Boston Pride,Jillian Dempsey,Zone Entry,125,70,Carried,,,,Rose Alleva,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:36,5,5,0,0,Boston Pride,Jillian Dempsey,Play,135,52,Direct,,,,McKenna Brand,168,74
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:34,5,5,0,0,Boston Pride,McKenna Brand,Shot,175,68,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:32,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Puck Recovery,11,32,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:30,5,5,0,0,Boston Pride,Jillian Dempsey,Puck Recovery,194,68,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:29,5,5,0,0,Boston Pride,Jillian Dempsey,Incomplete Play,174,82,Direct,,,,Lauren Kelly,165,22
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:26,5,5,0,0,Boston Pride,Lauren Kelly,Puck Recovery,196,20,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:26,5,5,0,0,Boston Pride,Lauren Kelly,Shot,196,20,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:23,5,5,0,0,Boston Pride,Lexie Laing,Faceoff Win,169,21,Backhand,,,,Audra Richards,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:20,5,5,0,0,Boston Pride,Mary Parker,Puck Recovery,168,3,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:20,5,5,0,0,Boston Pride,Mary Parker,Play,168,3,Indirect,,,,Lexie Laing,199,35
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:13,5,5,0,0,Boston Pride,Lexie Laing,Incomplete Play,185,74,Indirect,,,,Mary Parker,197,48
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:13,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Takeaway,7,23,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:11,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Incomplete Play,12,12,Direct,,,,Jonna Curtis,54,3
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:09,5,5,0,0,Boston Pride,Jenna Rheault,Puck Recovery,133,79,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:09,5,5,0,0,Boston Pride,Jenna Rheault,Play,133,79,Indirect,,,,Mary Parker,145,79
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:05,5,5,0,0,Boston Pride,Jenna Rheault,Puck Recovery,80,55,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,18:01,5,5,0,0,Boston Pride,Jenna Rheault,Play,52,13,Direct,,,,Paige Capistran,40,62
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:59,5,5,0,0,Boston Pride,Paige Capistran,Play,55,79,Direct,,,,Jenna Rheault,49,50
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:56,5,5,0,0,Boston Pride,Jenna Rheault,Incomplete Play,57,25,Direct,,,,Lexie Laing,85,8
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:53,5,5,0,0,Boston Pride,Tori Sullivan,Puck Recovery,111,15,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:52,5,5,0,0,Boston Pride,Tori Sullivan,Dump In/Out,122,3,Lost,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:52,5,5,0,0,Boston Pride,Tori Sullivan,Zone Entry,122,3,Dumped,,,,Rose Alleva,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:49,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Puck Recovery,3,35,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:49,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Incomplete Play,3,35,Indirect,,,,Jonna Curtis,60,8
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:46,5,5,0,0,Boston Pride,Carlee Turner,Puck Recovery,125,70,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:45,5,5,0,0,Boston Pride,Carlee Turner,Play,113,83,Indirect,,,,Jenna Rheault,60,76
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:43,5,5,0,0,Boston Pride,Jenna Rheault,Play,60,76,Direct,,,,Paige Capistran,53,26
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:42,5,5,0,0,Boston Pride,Paige Capistran,Play,53,26,Indirect,,,,Meaghan Rickard,96,6
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:38,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Puck Recovery,77,74,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:36,5,5,0,0,Boston Pride,Meaghan Rickard,Puck Recovery,129,2,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:36,5,5,0,0,Boston Pride,Meaghan Rickard,Incomplete Play,129,2,Indirect,,,,Carlee Turner,141,4
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:35,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Puck Recovery,37,80,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:35,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,37,80,Direct,,,,Winny Brodt-Brown,48,17
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:32,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Incomplete Play,67,5,Indirect,,,,Meghan Lorence,117,5
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:27,5,5,0,0,Boston Pride,Mallory Souliotis,Puck Recovery,3,39,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:27,5,5,0,0,Boston Pride,Mallory Souliotis,Play,3,39,Indirect,,,,Meghara McManus,24,84
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:20,5,5,0,0,Boston Pride,Meghara McManus,Incomplete Play,89,46,Direct,,,,Carlee Turner,130,73
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:16,5,5,0,0,Minnesota Whitecaps,Amanda Leveille,Puck Recovery,7,33,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:16,5,5,0,0,Minnesota Whitecaps,Amanda Leveille,Dump In/Out,7,33,Lost,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:15,5,5,0,0,Boston Pride,Meaghan Rickard,Puck Recovery,187,79,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:14,5,5,0,0,Minnesota Whitecaps,Haley Mack,Puck Recovery,25,2,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:11,5,5,0,0,Minnesota Whitecaps,Haley Mack,Play,22,3,Indirect,,,,Maddie Rowe,6,11
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:09,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Play,6,11,Direct,,,,Sydney Baldwin,2,40
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:06,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Play,2,42,Indirect,,,,Meghan Lorence,18,80
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:03,5,5,0,0,Minnesota Whitecaps,Meghan Lorence,Play,18,80,Indirect,,,,Stephanie Anderson,54,80
2021/1/23,Minnesota Whitecaps,Boston Pride,1,17:01,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Incomplete Play,70,66,Indirect,,,,Haley Mack,109,73
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:57,5,5,0,0,Boston Pride,Kaleigh Fratkin,Puck Recovery,2,34,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:57,5,5,0,0,Boston Pride,Kaleigh Fratkin,Play,2,34,Indirect,,,,Mallory Souliotis,14,7
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:53,5,5,0,0,Boston Pride,Mallory Souliotis,Incomplete Play,19,4,Direct,,,,Samantha Davis,38,1
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:50,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Puck Recovery,199,53,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:50,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,199,53,Direct,,,,Haylea Schmid,180,48
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:50,5,5,0,0,Minnesota Whitecaps,Haylea Schmid,Shot,181,43,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:47,5,5,0,0,Boston Pride,Samantha Davis,Puck Recovery,28,37,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:47,5,5,0,0,Boston Pride,Samantha Davis,Incomplete Play,37,29,Direct,,,,Tereza Vanisova,60,46
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:41,5,5,0,0,Boston Pride,Tereza Vanisova,Puck Recovery,145,78,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:40,5,5,0,0,Boston Pride,Tereza Vanisova,Incomplete Play,175,64,Direct,,,,Samantha Davis,180,42
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:39,5,5,0,0,Boston Pride,Taylor Wenczkowski,Puck Recovery,188,55,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:38,5,5,0,0,Boston Pride,Taylor Wenczkowski,Play,174,63,Direct,,,,Taylor Turnquist,143,81
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:32,5,5,0,0,Boston Pride,Taylor Turnquist,Play,198,61,Direct,,,,Samantha Davis,198,46
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:30,5,5,0,0,Boston Pride,Samantha Davis,Play,193,19,Direct,,,,Lauren Kelly,163,10
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:27,5,5,0,0,Boston Pride,Lauren Kelly,Incomplete Play,192,22,Direct,,,,Taylor Wenczkowski,175,45
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:25,5,5,0,0,Boston Pride,Taylor Turnquist,Puck Recovery,143,79,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:25,5,5,0,0,Boston Pride,Taylor Turnquist,Play,143,79,Direct,,,,Taylor Wenczkowski,186,68
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:20,5,5,0,0,Boston Pride,Taylor Wenczkowski,Play,194,33,Direct,,,,Samantha Davis,197,22
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:19,5,5,0,0,Boston Pride,Samantha Davis,Play,197,22,Direct,,,,Lauren Kelly,160,10
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:18,5,5,0,0,Boston Pride,Lauren Kelly,Shot,163,10,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:16,5,5,0,0,Boston Pride,Samantha Davis,Puck Recovery,196,36,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:15,5,5,0,0,Boston Pride,Samantha Davis,Shot,188,49,Wrap Around,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:12,5,5,0,0,Minnesota Whitecaps,Jonna Curtis,Faceoff Win,31,20,Forehand,,,,Jillian Dempsey,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:10,5,5,0,0,Minnesota Whitecaps,Audra Richards,Puck Recovery,55,31,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:10,5,5,0,0,Minnesota Whitecaps,Audra Richards,Play,55,31,Direct,,,,Emma Stauber,67,17
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:08,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,91,17,Direct,,,,Audra Richards,94,54
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:06,5,5,0,0,Minnesota Whitecaps,Audra Richards,Zone Entry,124,81,Carried,,,,Paige Capistran,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:05,5,5,0,0,Minnesota Whitecaps,Audra Richards,Incomplete Play,162,79,Direct,,,,Emma Stauber,173,43
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:03,5,5,0,0,Boston Pride,Paige Capistran,Puck Recovery,17,24,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,16:00,5,5,0,0,Boston Pride,Paige Capistran,Play,30,4,Indirect,,,,Jillian Dempsey,98,3
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:57,5,5,0,0,Boston Pride,Jillian Dempsey,Zone Entry,126,20,Carried,,,,Chelsey Brodt-Rosenthal,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:56,5,5,0,0,Boston Pride,Jillian Dempsey,Shot,149,19,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:55,5,5,0,0,Boston Pride,Jillian Dempsey,Faceoff Win,169,21,Backhand,,,,Meaghan Pezon,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:53,5,5,0,0,Boston Pride,McKenna Brand,Puck Recovery,159,26,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:53,5,5,0,0,Boston Pride,McKenna Brand,Incomplete Play,159,26,Direct,,,,Paige Capistran,130,9
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:49,5,5,0,0,Minnesota Whitecaps,Jonna Curtis,Puck Recovery,141,65,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:49,5,5,0,0,Minnesota Whitecaps,Jonna Curtis,Shot,167,67,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:47,5,5,0,0,Boston Pride,Jenna Rheault,Puck Recovery,4,45,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:45,5,5,0,0,Boston Pride,Jenna Rheault,Play,5,66,Indirect,,,,McKenna Brand,62,84
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:44,5,5,0,0,Boston Pride,McKenna Brand,Dump In/Out,62,84,Retained,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:43,5,5,0,0,Boston Pride,Jillian Dempsey,Puck Recovery,53,83,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:43,5,5,0,0,Boston Pride,Jillian Dempsey,Dump In/Out,53,83,Lost,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:42,5,5,0,0,Minnesota Whitecaps,Meaghan Pezon,Puck Recovery,105,34,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:40,5,5,0,0,Minnesota Whitecaps,Meaghan Pezon,Zone Entry,125,54,Carried,,,,Paige Capistran,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:39,5,5,0,0,Minnesota Whitecaps,Meaghan Pezon,Shot,153,62,Snapshot,Missed,t,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:36,5,5,0,0,Boston Pride,McKenna Brand,Puck Recovery,67,82,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:32,5,5,0,0,Boston Pride,McKenna Brand,Zone Entry,125,80,Carried,,,,Sydney Baldwin,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:31,5,5,0,0,Boston Pride,McKenna Brand,Shot,149,57,Snapshot,Blocked,t,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:29,5,5,0,0,Boston Pride,Christina Putigna,Puck Recovery,182,5,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:27,5,5,0,0,Boston Pride,Christina Putigna,Play,194,16,Indirect,,,,Jillian Dempsey,197,34
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:23,5,5,0,0,Boston Pride,Jillian Dempsey,Incomplete Play,178,22,Direct,,,,Kaleigh Fratkin,134,55
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:17,5,5,0,0,Minnesota Whitecaps,Sara Bustad,Faceoff Win,31,64,Forehand,,,,Lexie Laing,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:15,5,5,0,0,Minnesota Whitecaps,Meaghan Pezon,Puck Recovery,36,59,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:13,5,5,0,0,Boston Pride,Mallory Souliotis,Puck Recovery,129,3,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:13,5,5,0,0,Boston Pride,Mallory Souliotis,Play,129,3,Indirect,,,,Lexie Laing,197,18
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:10,5,5,0,0,Boston Pride,Lexie Laing,Incomplete Play,197,18,Indirect,,,,Tori Sullivan,150,48
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:09,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Takeaway,4,36,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:07,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Dump In/Out,11,16,Retained,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:05,5,5,0,0,Minnesota Whitecaps,Lynn Astrup,Puck Recovery,137,10,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:04,5,5,0,0,Minnesota Whitecaps,Lynn Astrup,Shot,164,23,Snapshot,Missed,t,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,15:01,5,5,0,0,Minnesota Whitecaps,Sara Bustad,Puck Recovery,172,82,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:58,5,5,0,0,Minnesota Whitecaps,Brooke White,Puck Recovery,182,79,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:58,5,5,0,0,Minnesota Whitecaps,Brooke White,Incomplete Play,182,79,Indirect,,,,Lynn Astrup,197,48
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:58,5,5,0,0,Boston Pride,Lexie Laing,Takeaway,11,9,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:57,5,5,0,0,Boston Pride,Lexie Laing,Incomplete Play,14,7,Indirect,,,,Tori Sullivan,50,3
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:56,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Takeaway,150,82,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:55,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Incomplete Play,165,82,Indirect,,,,Lynn Astrup,199,51
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:52,5,5,0,0,Boston Pride,Lexie Laing,Puck Recovery,23,43,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:51,5,5,0,0,Boston Pride,Lexie Laing,Play,47,45,Direct,,,,Tori Sullivan,79,7
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:46,5,5,0,0,Boston Pride,Tori Sullivan,Zone Entry,126,18,Carried,,,,Sara Bustad,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:46,5,5,0,0,Boston Pride,Tori Sullivan,Play,131,18,Direct,,,,Lexie Laing,147,10
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:44,5,5,0,0,Boston Pride,Lexie Laing,Shot,162,28,Snapshot,Missed,t,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:41,5,5,0,0,Boston Pride,Tori Sullivan,Puck Recovery,175,83,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:39,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Puck Recovery,2,51,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:37,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Incomplete Play,12,66,Direct,,,,Sara Bustad,52,81
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:30,5,5,0,0,Boston Pride,Mallory Souliotis,Puck Recovery,2,30,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,14:30,5,5,0,0,Boston Pride,Mallory Souliotis,Play,2,30,Direct,,,,Kaleigh Fratkin,5,18
